Status,"Product code","Product user reference","Department code",Department,"Subdepartment code",Subdepartment,"Family code",Family,Barcode,"CPNP number",Price,"Units per outer","Unit label","Unit price","Unit Name","Unit RRP","Unit net weight","Package weight (shipping)","Unit dimensions",Materials/Ingredients,"Webpage description (html)","Webpage description (plain text)","Country of origin","Tariff code","Duty rate","HTS US",Stock,Images,"Data updated","Stock updated","Price updated","Images updated","Available Quantity"
Active,BDC-07,,home,"Home & Garden",sd-dreamc,"Dream Catchers & Mobiles",BDC,"Bali Dreamcatchers",5055796570379,,11.4,6,piece,1.9,"Bali Dreamcatchers - Medium Round - Black/White/Red",3.6,0.022,0.132,"30x10 (cm)","Synthetic suede, feathers and plastic beads","<p>Dream Catcher. Probably the best quality and value you will find.</p><p>Packed with a mini info tag, made by <strong>Ancient Wisdom Dropshipping</strong> with quality materials.</p><p>Native Americans believe the night brings good and bad dreams. The Dream catcher when hung near your bed catches the dreams. The good dreams know how to pass through the dream catcher, the bad dreams not knowing the way get tangled in the dream catcher and perish with the first light of dawn..</p><p>In Bali the locals are very much in touch with the spirit world and have adopted the dream catcher and renewed it&apos;s power.</p><p>This dream catcher is made with love and blessings. Sweet dreams.</p><p>- Hand crafted Dream Catcher</p><p>- Top ring 10 cm diameter</p><p>- Total hanging length approx 30 cm</p><p>- Comes with small card explaining dream catcher legend</p><p><strong>Stop dreaming &nbsp;😴 and grab me today &nbsp;</strong></p>","Dream Catcher. Probably the best quality and value you will find.Packed with a mini info tag, made by Ancient Wisdom Dropshipping with quality materials.Native Americans believe the night brings good and bad dreams. The Dream catcher when hung near your bed catches the dreams. The good dreams know how to pass through the dream catcher, the bad dreams not knowing the way get tangled in the dream catcher and perish with the first light of dawn..In Bali the locals are very much in touch with the spirit world and have adopted the dream catcher and renewed it&apos;s power.This dream catcher is made with love and blessings. Sweet dreams.- Hand crafted Dream Catcher- Top ring 10 cm diameter- Total hanging length approx 30 cm- Comes with small card explaining dream catcher legendStop dreaming &nbsp;😴 and grab me today &nbsp;",IDN,6307909891,6%,,Normal,"https://media.aiku.io/hzBm-UKjsPqM7D3bdODswZvT-HFWDvJ7d4gI4y5_U1M/bG9jYWw6Ly9tZWRpYS8xRy9FRC82MFIzMEMxRzZHVDNFRDFHLzI3Mzc1Y2RlLmpwZWc, https://media.aiku.io/6Al5WFA2St1HHhI1oMfIni8Xp4kQRMDlleoJ5ct5iJ4/bG9jYWw6Ly9tZWRpYS8xSC9FRC82MFIzMEMxRzZHVDNFRDFILzc4ZGFhMmI5LmpwZWc, https://media.aiku.io/J-nJhIAEj-AwRa7JHtEP_gSv813IYciZgBjhgASCYis/bG9jYWw6Ly9tZWRpYS9IUy9FQy82MFIzMEMxRzZHVDNFQ0hTLzE4ZTZlZWU2LmpwZWc, https://media.aiku.io/yLnG1gHOd87nqJKq4EXdsA6M2E1O8EPLOkjOIUls888/bG9jYWw6Ly9tZWRpYS8xSi9FRC82MFIzMEMxRzZHVDNFRDFKL2U0ZjUzM2ZlLmpwZWc, https://media.aiku.io/asHnf9ot0ohTXzFQQp1JNHMzFAi8nZ6QY6ql1RXHyqs/bG9jYWw6Ly9tZWRpYS9IUC9FQy82MFIzMEMxRzZHVDNFQ0hQLzQ2NWU4M2MxLmpwZWc","2026-05-13 02:41:58+00","2026-05-13 02:41:58+00",,"2026-03-31 10:17:18+00",118
Active,BGemP-01,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368351471,,33.6,1,pack,33.6,"Gemstone Points approx 6cm (0.5KG) - African Amethyst (approx 8 pieces)",67,0.5,0.5,"12x12x5 (cm)",,"<p>Rich purple tones and natural marbling make this <strong>African Amethyst Gemstone Point</strong> a striking addition to any crystal collection. The polished finish highlights the stone’s natural beauty, creating a decorative piece that looks elegant on shelves, desks, or meditation spaces.</p> <p>Often chosen for its calming appearance, African Amethyst is popular with those drawn to peaceful, mindful interiors and natural décor. Its classic point shape makes it easy to display, whether styled individually or alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this African Amethyst point is a timeless piece that adds colour, character, and natural charm to any space.</p>","Rich purple tones and natural marbling make this African Amethyst Gemstone Point a striking addition to any crystal collection. The polished finish highlights the stone’s natural beauty, creating a decorative piece that looks elegant on shelves, desks, or meditation spaces. Often chosen for its calming appearance, African Amethyst is popular with those drawn to peaceful, mindful interiors and natural décor. Its classic point shape makes it easy to display, whether styled individually or alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this African Amethyst point is a timeless piece that adds colour, character, and natural charm to any space.",IND,7103990000,0.0%,,Normal,"https://media.aiku.io/3QPTrzymjSxIP-lHsLsZWQQqCC4PU9nfIBub8_KzFLI/bG9jYWw6Ly9tZWRpYS9TUi84Qy82MFIzMEMxSDc0V0s4Q1NSLzI2MDQ5NzRlLmpwZWc, https://media.aiku.io/4kO-v_A-NHNnOw_xhpPFdO03gJ9s4aua26MUsh_3lho/bG9jYWw6Ly9tZWRpYS8xSy84RC82MFIzMEMxSDc0V0s4RDFLLzFkOGExZGRhLmpwZWc","2026-05-05 03:31:12+00","2026-04-20 09:37:39+00",,"2026-04-14 12:34:16+00",85
Active,BGemP-02,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368351488,,33.6,1,pack,33.6,"Gemstone Points approx 6cm (0.5KG) - Indian Rose Quartz (approx 8 pieces)",67,0.5,0.5,"12x12x5 (cm)",,"<p>Soft pink tones and a smooth polished finish make this <strong>Indian Rose Quartz Gemstone Point</strong> a gentle and elegant addition to any space. Its natural colour creates a subtle decorative accent that looks beautiful on shelves, desks, or bedside tables.</p> <p>Often chosen for its calming appearance, Rose Quartz is popular with those drawn to soft, peaceful interiors and natural crystal décor. The classic point shape makes it easy to display on its own or styled alongside other gemstones.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Indian Rose Quartz point brings a soft, timeless touch to any crystal collection.</p>","Soft pink tones and a smooth polished finish make this Indian Rose Quartz Gemstone Point a gentle and elegant addition to any space. Its natural colour creates a subtle decorative accent that looks beautiful on shelves, desks, or bedside tables. Often chosen for its calming appearance, Rose Quartz is popular with those drawn to soft, peaceful interiors and natural crystal décor. The classic point shape makes it easy to display on its own or styled alongside other gemstones.Whether selected as a thoughtful gift or a personal keepsake, this Indian Rose Quartz point brings a soft, timeless touch to any crystal collection.",IND,7103990000,0.0%,,Normal,"https://media.aiku.io/MMihDlF1rU-yGyC3DhpJF2TLm_4lsAkalZg8cHcE9qk/bG9jYWw6Ly9tZWRpYS9TUy84Qy82MFIzMEMxSDc0V0s4Q1NTLzg1ODc4NDhkLmpwZWc, https://media.aiku.io/xyHhf2WCEXyDke0V7M7RSm-lVAfHR10OqAlbVUjwXtE/bG9jYWw6Ly9tZWRpYS8xTS84RC82MFIzMEMxSDc0V0s4RDFNL2EyZWEzMDhhLmpwZWc","2026-05-05 03:31:12+00","2026-04-22 11:10:39+00",,"2026-04-14 12:35:53+00",26
Active,BGemP-03,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368351495,,33.6,1,pack,33.6,"Gemstone Points approx 6cm (0.5KG) - Clear Quartz (approx 8 pieces)",67,0.5,0.5,"12x12x5 (cm)",,"<p>Clear, light-catching tones make this <strong>Clear Quartz Gemstone Point</strong> a timeless addition to any space. The polished finish enhances its natural clarity, creating a clean and elegant decorative piece that looks beautiful on shelves, desks, or meditation areas.</p> <p>Often chosen for its simple, versatile appearance, Clear Quartz fits effortlessly into modern, minimalist, or boho-inspired interiors. The classic point shape makes it easy to display on its own or styled alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Clear Quartz point brings a fresh, natural touch to any crystal collection.</p>","Clear, light-catching tones make this Clear Quartz Gemstone Point a timeless addition to any space. The polished finish enhances its natural clarity, creating a clean and elegant decorative piece that looks beautiful on shelves, desks, or meditation areas. Often chosen for its simple, versatile appearance, Clear Quartz fits effortlessly into modern, minimalist, or boho-inspired interiors. The classic point shape makes it easy to display on its own or styled alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Clear Quartz point brings a fresh, natural touch to any crystal collection.",IND,7103990000,0.0%,,Normal,"https://media.aiku.io/VhGcm60T3y_bXv3SyBrcVAvnZZ-3XJLsX51rIwoYZ2E/bG9jYWw6Ly9tZWRpYS8xTi84RC82MFIzMEMxSDc0V0s4RDFOLzVhMDI4YjhkLmpwZWc, https://media.aiku.io/BkuT7EOY_YRKc-U01WGbyL8wiUb4YZT9YuiwkQ2K1hk/bG9jYWw6Ly9tZWRpYS8xUy84RC82MFIzMEMxSDc0V0s4RDFTL2YyZTZlMmZkLmpwZWc","2026-05-05 03:31:12+00","2026-04-17 13:19:03+00",,"2026-04-14 12:44:59+00",91
Active,BGemP-04,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368351501,,33.6,1,pack,33.6,"Gemstone Points approx 6cm (0.5KG) - Indian Jade (approx 8 pieces)",67,0.5,0.5,"12x12x5 (cm)",,"<p>Rich green tones and natural patterns make this <strong>Indian Jade Gemstone Point</strong> a beautiful addition to any space. The polished finish highlights the stone’s earthy character, creating a decorative piece that looks elegant on shelves, desks, or meditation areas.</p> <p>Often chosen for its calming, nature-inspired appearance, Indian Jade fits effortlessly into modern, boho, or natural interiors. The classic point shape makes it easy to display individually or styled alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Indian Jade point brings a fresh, natural touch to any crystal collection.</p>","Rich green tones and natural patterns make this Indian Jade Gemstone Point a beautiful addition to any space. The polished finish highlights the stone’s earthy character, creating a decorative piece that looks elegant on shelves, desks, or meditation areas. Often chosen for its calming, nature-inspired appearance, Indian Jade fits effortlessly into modern, boho, or natural interiors. The classic point shape makes it easy to display individually or styled alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Indian Jade point brings a fresh, natural touch to any crystal collection.",IND,7103990000,0.0%,,Normal,"https://media.aiku.io/oNX1p-5zpqRWcav6f_B_4UCPk_XLPnFsvBLUXg5jRPA/bG9jYWw6Ly9tZWRpYS8xRy84RC82MFIzMEMxSDc0V0s4RDFHLzFiOWQxN2QzLmpwZWc, https://media.aiku.io/-XnbPdODxQK5EPsC3DRqNjveYLkHdeJv_a-5MnZI7v0/bG9jYWw6Ly9tZWRpYS8xUC84RC82MFIzMEMxSDc0V0s4RDFQLzkyODI5MGU2LmpwZWc","2026-05-05 03:31:12+00","2026-04-22 11:10:40+00",,"2026-04-14 12:48:53+00",39
Active,BGemP-05,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368351518,,33.6,1,pack,33.6,"Gemstone Points approx 6cm (0.5KG) - Afghan Lapis (approx 8 pieces)",67,0.5,0.5,"12x12x5 (cm)",,"<p>Deep blue tones with natural flecks and patterns make this <strong>Afghan Lapis Gemstone Point</strong> a striking decorative piece. The polished finish enhances the stone’s rich colour, creating an eye-catching accent that looks beautiful on shelves, desks, or meditation spaces.</p> <p>Often chosen for its bold, timeless appearance, Afghan Lapis adds depth and character to modern, boho, or eclectic interiors. The classic point shape makes it easy to display on its own or styled alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Afghan Lapis point brings colour, character, and natural beauty to any crystal collection.</p>","Deep blue tones with natural flecks and patterns make this Afghan Lapis Gemstone Point a striking decorative piece. The polished finish enhances the stone’s rich colour, creating an eye-catching accent that looks beautiful on shelves, desks, or meditation spaces. Often chosen for its bold, timeless appearance, Afghan Lapis adds depth and character to modern, boho, or eclectic interiors. The classic point shape makes it easy to display on its own or styled alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Afghan Lapis point brings colour, character, and natural beauty to any crystal collection.",IND,7103990000,0.0%,,Normal,"https://media.aiku.io/Fu2MB9cXHYrL5Q0MH0M0in6AReEOc05EKrAgDAE1rMw/bG9jYWw6Ly9tZWRpYS8xSC84RC82MFIzMEMxSDc0V0s4RDFIL2I5MmY4OTk4LmpwZWc, https://media.aiku.io/vNLtA9Fs1BLvRftHzA-ADtQUhPSpF0Paz_FCKDuOoBg/bG9jYWw6Ly9tZWRpYS8xUS84RC82MFIzMEMxSDc0V0s4RDFRLzczN2IwMmY0LmpwZWc","2026-05-05 03:31:13+00","2026-04-14 12:50:29+00",,"2026-04-14 12:50:29+00",49
Active,BGemP-06,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368351525,,33.6,1,pack,33.6,"Gemstone Points approx 6cm (0.5KG) - Indian Moonstone (approx 8 pieces)",67,0.5,0.5,"12x12x5 (cm)",,"<p>Soft milky tones with natural dark inclusions give this <strong>Indian Moonstone Gemstone Point</strong> a unique and eye-catching look. The polished finish highlights the stone’s natural character, creating a decorative piece that looks beautiful on shelves, desks, or meditation spaces.</p> <p>Often chosen for its gentle, natural appearance, Indian Moonstone fits effortlessly into modern, boho, or minimalist interiors. The classic point shape makes it easy to display individually or styled alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Indian Moonstone point brings a calm, natural touch to any crystal collection.</p>","Soft milky tones with natural dark inclusions give this Indian Moonstone Gemstone Point a unique and eye-catching look. The polished finish highlights the stone’s natural character, creating a decorative piece that looks beautiful on shelves, desks, or meditation spaces. Often chosen for its gentle, natural appearance, Indian Moonstone fits effortlessly into modern, boho, or minimalist interiors. The classic point shape makes it easy to display individually or styled alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Indian Moonstone point brings a calm, natural touch to any crystal collection.",IND,7103990000,0.0%,,Normal,"https://media.aiku.io/ALRVguHMVKuib-3Q52ausvoRhVmDjjhXhuRlIeD-8uU/bG9jYWw6Ly9tZWRpYS8xSi84RC82MFIzMEMxSDc0V0s4RDFKLzcwYzkzMmY2LmpwZWc, https://media.aiku.io/Lt42JS0vQB25GEmIsYBN4socW0t2HQPIz3_zFl4BwGk/bG9jYWw6Ly9tZWRpYS8xUi84RC82MFIzMEMxSDc0V0s4RDFSL2E5ZWRjNzIxLmpwZWc","2026-05-05 03:31:13+00","2026-04-29 14:32:06+00",,"2026-04-14 12:52:25+00",36
Active,BGemP-07,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368351532,,33.6,1,pack,33.6,"Gemstone Points approx 6cm (0.5KG) - Indian Tourmaline (approx 8 pieces)",67,0.5,0.5,"12x12x5 (cm)",,"<p>Deep black tones and a smooth polished finish give this <strong>Indian Tourmaline Gemstone Point</strong> a bold and timeless look. Its clean, classic shape creates a striking decorative accent that works beautifully on shelves, desks, or meditation spaces.</p> <p>Often chosen for its minimalist appearance, Indian Tourmaline fits effortlessly into modern, boho, or natural interiors. The classic point shape makes it easy to display on its own or styled alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Indian Tourmaline point adds depth, character, and natural charm to any crystal collection.</p>","Deep black tones and a smooth polished finish give this Indian Tourmaline Gemstone Point a bold and timeless look. Its clean, classic shape creates a striking decorative accent that works beautifully on shelves, desks, or meditation spaces. Often chosen for its minimalist appearance, Indian Tourmaline fits effortlessly into modern, boho, or natural interiors. The classic point shape makes it easy to display on its own or styled alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Indian Tourmaline point adds depth, character, and natural charm to any crystal collection.",IND,7103990000,0.0%,,Normal,"https://media.aiku.io/3lES1KEys10ujKHF45fqQWMVUJ-MVkjMVGsS7rLKwR0/bG9jYWw6Ly9tZWRpYS9TUC84Qy82MFIzMEMxSDc0V0s4Q1NQL2UwMzliY2ViLmpwZWc, https://media.aiku.io/t5Y_6HYyowKg4Pc8FUMU3GyEoTJCEtVsECZItQECESo/bG9jYWw6Ly9tZWRpYS9TUS84Qy82MFIzMEMxSDc0V0s4Q1NRLzk0ZGY4MThhLmpwZWc","2026-05-05 03:31:13+00","2026-04-18 02:46:03+00",,"2026-04-14 12:56:09+00",90
Active,BGemP-08,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368363764,,28.8,1,pack,28.8,"Gemstone Top Polished Points - Amethyst A grade (approx 5-6 pieces)",58,0.7,0.7,"14x14x7 (cm)",,"<p>Rich purple tones and a polished top make this <strong>Amethyst A Grade Top Polished Point</strong> a striking decorative piece. The smooth finish highlights the natural beauty of the stone, creating an elegant accent that looks beautiful on shelves, desks, or meditation spaces.</p> <p>Often chosen for its calming appearance, Amethyst is popular with those drawn to peaceful interiors and natural crystal décor. The polished point design gives it a refined look, making it easy to display on its own or styled alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this A Grade Amethyst point brings colour, character, and timeless appeal to any crystal collection.</p>","Rich purple tones and a polished top make this Amethyst A Grade Top Polished Point a striking decorative piece. The smooth finish highlights the natural beauty of the stone, creating an elegant accent that looks beautiful on shelves, desks, or meditation spaces. Often chosen for its calming appearance, Amethyst is popular with those drawn to peaceful interiors and natural crystal décor. The polished point design gives it a refined look, making it easy to display on its own or styled alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this A Grade Amethyst point brings colour, character, and timeless appeal to any crystal collection.",IND,6802999090,,,Normal,"https://media.aiku.io/G-iIB7Y7gouPcH3Aai5B5_tTnDVMfEb6oEyIa_wAwOc/bG9jYWw6Ly9tZWRpYS8xTi8yRC82MFIzMEMxSjY4VksyRDFOLzU0ZTRhM2YxLmpwZw, https://media.aiku.io/libblT1Td1mCUnebCC-Yzmb-UiqxJcavYMuTeUAobgk/bG9jYWw6Ly9tZWRpYS8xTS8yRC82MFIzMEMxSjY4VksyRDFNLzJiYzQ5ZWU3LmpwZw","2026-05-05 03:31:13+00","2026-04-17 11:31:10+00",,"2026-04-14 12:57:56+00",160
Active,BGemP-09,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368363771,,28.8,1,pack,28.8,"Gemstone Top Polished Points - Epidote A grade (approx 5-6 pieces)",58,0.7,0.7,"14x14x7 (cm)",,"<p>Natural green tones and unique patterns make this <strong>Epidote A Grade Top Polished Point</strong> a distinctive decorative piece. The polished top highlights the stone’s natural character, while the raw base adds texture and visual interest, creating a striking accent for shelves, desks, or meditation spaces.</p> <p>Often chosen for its earthy appearance, Epidote fits beautifully into natural, boho, or minimalist interiors. The polished point design gives each piece a balanced, refined look that is easy to display on its own or alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this A Grade Epidote point brings natural charm and character to any crystal collection.</p>","Natural green tones and unique patterns make this Epidote A Grade Top Polished Point a distinctive decorative piece. The polished top highlights the stone’s natural character, while the raw base adds texture and visual interest, creating a striking accent for shelves, desks, or meditation spaces. Often chosen for its earthy appearance, Epidote fits beautifully into natural, boho, or minimalist interiors. The polished point design gives each piece a balanced, refined look that is easy to display on its own or alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this A Grade Epidote point brings natural charm and character to any crystal collection.",IND,6802999090,,,Normal,"https://media.aiku.io/bXAQobmNp2bw8fggjtSuA0wD8feu8uNsrDoPcY6ghVY/bG9jYWw6Ly9tZWRpYS8xUC8yRC82MFIzMEMxSjY4VksyRDFQLzZlMjAxN2I3LmpwZw, https://media.aiku.io/AusJfdo-fOUpFcjcLJzOmM2moBt4YPwJHr_p33Bd4Jw/bG9jYWw6Ly9tZWRpYS8xUS8yRC82MFIzMEMxSjY4VksyRDFRL2MyYWUwMTJkLmpwZw","2026-05-05 03:31:13+00","2026-04-17 11:31:12+00",,"2026-04-14 12:59:54+00",128
Active,BGemP-10,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368363788,,28.8,1,pack,28.8,"Gemstone Top Polished Points - Indian Tourmaline  (approx 5-6 pieces)",58,0.7,0.7,"14x14x7 (cm)",,"<p>Deep black tones and a polished top give this <strong>Indian Tourmaline Top Polished Point</strong> a bold and timeless look. The smooth finish highlights the natural beauty of the stone, creating a striking decorative piece for shelves, desks, or meditation spaces.</p> <p>Often chosen for its clean, minimalist appearance, Indian Tourmaline fits effortlessly into modern, boho, or natural interiors. The polished point design adds a refined touch, making it easy to display on its own or alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Indian Tourmaline point brings depth, character, and natural elegance to any crystal collection.</p>","Deep black tones and a polished top give this Indian Tourmaline Top Polished Point a bold and timeless look. The smooth finish highlights the natural beauty of the stone, creating a striking decorative piece for shelves, desks, or meditation spaces. Often chosen for its clean, minimalist appearance, Indian Tourmaline fits effortlessly into modern, boho, or natural interiors. The polished point design adds a refined touch, making it easy to display on its own or alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Indian Tourmaline point brings depth, character, and natural elegance to any crystal collection.",IND,6802999090,,,Normal,"https://media.aiku.io/aKwAdevBW8nQ5e0yozbc3Ts06o2_qjFNvETpdGyXN30/bG9jYWw6Ly9tZWRpYS8xUi8yRC82MFIzMEMxSjY4VksyRDFSLzc5NWE3YzBlLmpwZw, https://media.aiku.io/C3PSqnQqnVBc-1hyxFGIaJDafXEUgdY8-Y5iDWCUlfQ/bG9jYWw6Ly9tZWRpYS8xUy8yRC82MFIzMEMxSjY4VksyRDFTLzQxMWU0OTMyLmpwZw","2026-05-05 03:31:13+00","2026-04-17 11:31:13+00",,"2026-04-14 13:04:59+00",128
Active,BGemP-11,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368363795,,28.8,1,pack,28.8,"Gemstone Top Polished Points - Indian Amazonite (approx 5-6 pieces)",58,0.7,0.7,"14x14x7 (cm)",,"<p>Soft turquoise-green tones and natural patterns make this <strong>Indian Amazonite Top Polished Point</strong> a refreshing addition to any space. The polished top highlights the stone’s natural texture and colour, creating a decorative piece that looks beautiful on shelves, desks, or meditation areas.</p> <p>Often chosen for its calming, nature-inspired appearance, Amazonite fits effortlessly into modern, boho, or coastal-style interiors. The polished point design adds a refined touch, making it easy to display on its own or styled alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Indian Amazonite point brings a fresh, natural charm to any crystal collection.</p>","Soft turquoise-green tones and natural patterns make this Indian Amazonite Top Polished Point a refreshing addition to any space. The polished top highlights the stone’s natural texture and colour, creating a decorative piece that looks beautiful on shelves, desks, or meditation areas. Often chosen for its calming, nature-inspired appearance, Amazonite fits effortlessly into modern, boho, or coastal-style interiors. The polished point design adds a refined touch, making it easy to display on its own or styled alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Indian Amazonite point brings a fresh, natural charm to any crystal collection.",IND,6802999090,,,Normal,"https://media.aiku.io/E2m51-7CvEmmnF5SKPEPn30FVT6PkyhI7mjGoZzq_F0/bG9jYWw6Ly9tZWRpYS85Ry8yRC82MFIzMEMxSjY4VksyRDlHL2ZjNjBlY2NiLmpwZw, https://media.aiku.io/Y2SrGhEHM8kM_ovOTmjS1muRrR3SZx6WBR8MzAO-Jgk/bG9jYWw6Ly9tZWRpYS85SC8yRC82MFIzMEMxSjY4VksyRDlIL2JiM2ZkYmUzLmpwZw","2026-05-05 03:31:13+00","2026-04-17 11:31:16+00",,"2026-04-14 13:06:32+00",128
Active,BGemP-12,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368363801,,28.8,1,pack,28.8,"Gemstone Top Polished Points - Smoky Quartz (approx 5-6 pieces)",58,0.7,0.7,"14x14x7 (cm)",,"<p>Smoky translucent tones and a polished top give this <strong>Smoky Quartz Top Polished Point</strong> a warm and elegant look. The smooth finish enhances the natural depth of the stone, creating a stylish decorative piece for shelves, desks, or meditation spaces.</p> <p>Often chosen for its subtle, earthy appearance, Smoky Quartz fits beautifully into modern, boho, or minimalist interiors. The polished point design adds a refined touch, making it easy to display on its own or alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Smoky Quartz point brings understated charm and natural beauty to any crystal collection.</p>","Smoky translucent tones and a polished top give this Smoky Quartz Top Polished Point a warm and elegant look. The smooth finish enhances the natural depth of the stone, creating a stylish decorative piece for shelves, desks, or meditation spaces. Often chosen for its subtle, earthy appearance, Smoky Quartz fits beautifully into modern, boho, or minimalist interiors. The polished point design adds a refined touch, making it easy to display on its own or alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Smoky Quartz point brings understated charm and natural beauty to any crystal collection.",IND,6802999090,,,Normal,"https://media.aiku.io/IrcYbRa7NOsirPfPoNk0_LGm3Ey2H3p8Cz1ZAH9uW0E/bG9jYWw6Ly9tZWRpYS85Si8yRC82MFIzMEMxSjY4VksyRDlKLzk1MTQ2OWNhLmpwZw, https://media.aiku.io/4Htta924-jsRAwOAiOJjnCdKfZsmQpwECxJ7luZLOjM/bG9jYWw6Ly9tZWRpYS85Sy8yRC82MFIzMEMxSjY4VksyRDlLLzBlMGFkZGU1LmpwZw","2026-05-05 03:31:13+00","2026-04-17 11:31:10+00",,"2026-04-14 13:07:58+00",128
Active,BGemP-13,,crystals,"Crystals & Esoterics",sd-points,"Crystal Points, Spheres & Figures",BGemP,"Gemstone Points",5056368363818,,28.8,1,pack,28.8,"Gemstone Top Polished Points - Green Aventurine (approx 5-6 pieces)",58,0.7,0.7,"14x14x7 (cm)",,"<p>Rich green tones and natural variations make this <strong>Green Aventurine Top Polished Point</strong> a fresh and eye-catching decorative piece. The polished top highlights the stone’s natural beauty, while the raw base adds texture and character, making it perfect for shelves, desks, or meditation spaces.</p> <p>Often chosen for its natural, earthy appearance, Green Aventurine fits effortlessly into modern, boho, or nature-inspired interiors. The polished point design gives each piece a balanced look that’s easy to display on its own or alongside other crystals.</p><p>Whether selected as a thoughtful gift or a personal keepsake, this Green Aventurine point brings a vibrant, natural touch to any crystal collection.</p>","Rich green tones and natural variations make this Green Aventurine Top Polished Point a fresh and eye-catching decorative piece. The polished top highlights the stone’s natural beauty, while the raw base adds texture and character, making it perfect for shelves, desks, or meditation spaces. Often chosen for its natural, earthy appearance, Green Aventurine fits effortlessly into modern, boho, or nature-inspired interiors. The polished point design gives each piece a balanced look that’s easy to display on its own or alongside other crystals.Whether selected as a thoughtful gift or a personal keepsake, this Green Aventurine point brings a vibrant, natural touch to any crystal collection.",IND,6802999090,,,Normal,"https://media.aiku.io/qQqSr-PNgEaOxvnAMTPgb7Sy-RgqElAXcTj__2RnnGc/bG9jYWw6Ly9tZWRpYS85TS8yRC82MFIzMEMxSjY4VksyRDlNLzE5MmM1YTRmLmpwZw, https://media.aiku.io/u0OzpF9b7VnQiFVUKZp1B3dSh7y1OdnLH1MDu46jr8w/bG9jYWw6Ly9tZWRpYS85Ti8yRC82MFIzMEMxSjY4VksyRDlOL2NlZDgzM2E3LmpwZw","2026-05-05 03:31:13+00","2026-04-17 10:47:49+00",,"2026-04-14 13:13:04+00",128
